hcp_id,Samples,Predicted_Demand,Sample_Investment,Expected_Incremental_Rx,Expected_Incremental_Units,Expected_Revenue,Expected_Variable_Cost,Expected_Incremental_Profit,Projected_ROI_Pct
NPIIN0000008740,381,3.4382149453587587,1905.0,0.37820364398946343,0.7564072879789269,151.28145759578538,151.28145759578538,0.0,-100.0
NPIIN0000004535,346,3.356137578980879,1730.0,0.36917513368789673,0.7383502673757935,147.67005347515868,147.67005347515868,0.0,-100.0
NPIIN0000000688,338,3.1360965379901447,1690.0,0.3449706191789159,0.6899412383578318,137.98824767156637,137.98824767156637,0.0,-100.0
NPIIN0000001415,332,3.2096462314788266,1660.0,0.3530610854626709,0.7061221709253418,141.22443418506836,141.22443418506836,0.0,-100.0
NPIIN0000003326,319,2.816446035524944,1595.0,0.3098090639077438,0.6196181278154876,123.92362556309753,123.92362556309753,0.0,-100.0
NPIIN0000009393,312,2.6530600353067517,1560.0,0.2918366038837427,0.5836732077674854,116.73464155349708,116.73464155349708,0.0,-100.0
NPIIN0000002529,296,2.491799800164959,1480.0,0.2740979780181455,0.548195956036291,109.63919120725821,109.63919120725821,0.0,-100.0
NPIIN0000006649,292,2.457984402594368,1460.0,0.27037828428538047,0.5407565685707609,108.15131371415218,108.15131371415218,0.0,-100.0
NPIIN0000006597,289,2.4340731282297448,1445.0,0.2677480441052719,0.5354960882105438,107.09921764210877,107.09921764210877,0.0,-100.0
NPIIN0000002838,287,2.405582362667096,1435.0,0.26461405989338055,0.5292281197867611,105.84562395735222,105.84562395735222,0.0,-100.0
NPIIN0000011198,286,2.435333885950882,1430.0,0.267886727454597,0.535773454909194,107.15469098183881,107.15469098183881,0.0,-100.0
NPIIN0000007868,285,2.3828999514889713,1425.0,0.26211899466378685,0.5242379893275737,104.84759786551474,104.84759786551474,0.0,-100.0
NPIIN0000003733,275,2.312216166756308,1375.0,0.2543437783431939,0.5086875566863878,101.73751133727755,101.73751133727755,0.0,-100.0
NPIIN0000007531,274,2.302459723425476,1370.0,0.25327056957680233,0.5065411391536047,101.30822783072094,101.30822783072094,0.0,-100.0
NPIIN0000001855,272,2.2697878617672793,1360.0,0.24967666479440073,0.49935332958880146,99.87066591776029,99.87066591776029,0.0,-100.0
NPIIN0000000537,269,2.296727534418291,1345.0,0.25264002878601205,0.5052800575720241,101.05601151440482,101.05601151440482,0.0,-100.0
NPIIN0000011472,266,2.277583064013697,1330.0,0.2505341370415067,0.5010682740830134,100.21365481660267,100.21365481660267,0.0,-100.0
NPIIN0000000883,265,2.2583718886073827,1325.0,0.2484209077468121,0.4968418154936242,99.36836309872484,99.36836309872484,0.0,-100.0
NPIIN0000000307,265,2.223423905577068,1325.0,0.24457662961347748,0.48915325922695496,97.83065184539099,97.83065184539099,0.0,-100.0
